ABB.ST,ATCO-A.ST,JM.ST,NCC-B.ST,NDA-SE.ST,SAAB-B.ST,SEB-A.ST,SHB-A.ST,SKA-B.ST,VOLV-B.ST
0.001847784303607991,0.014500395931997812,0.00687677334236203,0.012373435941965383,-0.001503171316459051,-0.004046845359924167,-0.004817844246039815,-0.013205233587703424,0.0,0.007903738120167425
-0.04857051455847072,-0.028586279493122646,0.012521326046979198,-0.0038888719346787948,0.004139915451266241,-0.004491030958307385,0.0,0.0,-0.040866367489637345,-0.004432280419617185
-0.016801331848243173,-0.03477795726200006,-0.008993765596515768,0.0,-0.0022487841581276813,-0.004940897514433384,-0.0033283089365071516,0.0004054778680118165,-0.012356173558553118,-0.015068472248234155
0.016759797266194587,0.009146392522719538,0.019285274178277856,-0.0016731904442367496,-0.0030053278507164993,0.0056130732241332915,-0.04189431708764835,0.008107012666155766,0.01941328706106704,0.07719047711515947
-0.01971559865497763,0.010711326094775098,0.021146372377804257,0.0072625868813285255,0.010173369514410613,0.0072993226774700215,0.0022179394040426903,-0.005227193677965203,0.0067710149135127295,0.011297611807328245
0.0009891800943679918,0.011956505153490227,-0.10190734031739612,-0.006100976621724485,-0.01641176350732909,0.024936021707285372,-0.007271539303612573,-0.007275617774355703,0.0004203703492280386,-0.021065993753880408
-0.01745724046112096,-0.017185805589092884,-0.02669908418564504,-0.0027901786189450384,-0.013272657709443525,0.011852801579070427,-0.01305734427871219,-0.009772024005007096,-0.01764704600101763,0.0026083722240894947
0.0010057603849287222,0.012021841247225051,0.02992520719704972,0.003917162620013626,-0.01191393527318152,-0.023222396565574677,0.006453694867345039,0.002467130390808814,0.0,-0.0013007931592987632
-0.00971196864436441,-0.0021597942930644543,-0.000605271468363866,-0.0022296204575970036,-0.006612260469362918,0.0027351532588575367,0.00032063515701397094,0.016406890688802855,0.013259156562287489,-0.006186889803720619
0.007778111931082465,0.008928538253444973,0.006056934966877092,0.027374267578125,0.02545027468808203,-0.04532103614540073,0.03044871794871784,0.007263934744108358,0.017306906750310658,0.015727351248310928
0.001677852348993314,-0.015017447560136343,-0.022877801999535152,0.001087613994940284,0.0,-0.061978048806662134,0.000622121950330401,0.005208284299599075,0.05975101201860733,0.0035484067855342527
0.004355067983145,0.010073542962154347,0.01910037453134228,-0.024986452748562815,-0.0026727060166705785,0.022024425217702204,-0.0012434703104862166,0.0035871230656336905,0.01331242747743544,0.004500141012593106
0.003669133249849299,-0.0048517191185141195,-0.0259975087765717,0.016155954855066046,0.014931063224427277,0.0009169965274886671,0.01058208696930718,0.015885623318192765,-0.00425029226360496,0.008320019531250056
0.000997069845904086,0.002979348725808517,-0.008069540673527276,0.04660087875235308,0.004526524563656764,-0.003206582402457525,0.006775428416215812,0.00039089461897434674,-0.002716384066248634,0.0041256355689871516
0.014276187313077227,0.02214424109464397,0.030037565457387005,0.03143006910337309,0.0018775817608700507,0.04136029295752208,0.007341676174042355,0.008206354644795688,0.009727626459143934,0.02876108179222303
-0.003928026864259415,-0.008454457614349375,0.00789785993173786,-0.011680994739786121,-0.002998455133324529,0.07943512583921652,0.0051625030976316655,0.008139558540758207,0.0026975422236270585,0.004915533344133971
0.014459495861222527,0.0,-0.021097047189669427,-0.0015416394776381903,0.022932353772615155,0.1616925053396403,0.015710006667768228,0.015378700138930723,-0.009607993400134185,0.01222867601761557
0.017492690906869335,0.015187882740288261,-0.004310326197970005,0.0,0.006615169983803515,0.006510667405432269,0.008030879213027697,0.0,-0.0038804809958511433,0.014799135627174831
-0.01623688635598064,-0.02965876061146655,-0.043290044107054615,-0.01749876017432561,-0.00985754563570207,0.028496482155539793,-0.005901445960518004,-0.007194221327430306,-0.018309357162167306,-0.021428607759021556
